date	day_of_week	visitor_team	home_team	visitor_score	home_score	day_night	attendance	duration_of_game	visitor_hits	visitor_pitchers_used	visitor_errors	home_hits	home_pitchers_used	home_errors
20100527	Thu	WAS	SFN	4	5	D	28251	164	8	4	1	9	4	1
20100528	Fri	ARI	SFN	0	5	N	31495	138	1	2	0	7	1	0
20100529	Sat	ARI	SFN	1	12	N	37400	182	2	4	0	16	4	0
20100530	Sun	ARI	SFN	5	6	D	41394	213	10	4	0	15	5	1
20100531	Mon	COL	SFN	4	0	D	42465	158	6	1	0	4	3	2
20100601	Tue	COL	SFN	2	1	N	31198	221	10	5	1	8	5	0
20100602	Wed	COL	SFN	1	4	N	30697	136	4	4	0	8	2	0
20100604	Fri	SFN	PIT	6	4	N	17817	141	10	4	1	5	4	0
20100605	Sat	SFN	PIT	3	6	N	36687	173	9	4	0	13	4	1
20100606	Sun	SFN	PIT	6	5	D	24068	221	12	5	0	9	6	2
20100607	Mon	SFN	CIN	6	5	N	18457	180	13	5	0	8	5	0
20100608	Tue	SFN	CIN	3	0	N	13011	170	10	1	0	7	5	0
20100609	Wed	SFN	CIN	3	6	N	14700	160	9	3	0	12	4	0
20100610	Thu	SFN	CIN	6	7	D	19241	208	13	5	0	13	6	1
20100611	Fri	OAK	SFN	2	6	N	41817	141	9	4	0	8	3	1
20100612	Sat	OAK	SFN	4	5	N	36861	165	9	3	2	10	5	0
20100613	Sun	OAK	SFN	2	6	D	39187	168	10	4	2	8	4	1
20100614	Mon	BAL	SFN	2	10	N	33822	158	8	5	1	9	3	0
20100615	Tue	BAL	SFN	4	1	N	35498	161	9	3	0	3	4	0
20100616	Wed	BAL	SFN	3	6	D	38485	181	11	4	0	11	4	0
20100618	Fri	SFN	TOR	2	3	N	18667	137	5	1	0	4	4	0
20100619	Sat	SFN	TOR	0	3	D	20666	135	4	2	0	8	3	0
20100620	Sun	SFN	TOR	9	6	D	21431	207	12	6	1	9	4	2
20100622	Tue	SFN	HOU	3	1	N	29777	153	7	2	3	7	2	1
20100623	Wed	SFN	HOU	3	6	N	29311	189	8	5	0	11	3	3
20100624	Thu	SFN	HOU	5	7	D	26662	196	10	6	0	11	6	3
20100625	Fri	BOS	SFN	4	5	N	41182	195	7	2	1	12	4	1
20100626	Sat	BOS	SFN	4	2	D	42178	166	5	8	0	6	3	0
20100627	Sun	BOS	SFN	5	1	D	41528	171	11	1	0	5	6	0
20100628	Mon	LAN	SFN	4	2	N	34626	202	9	4	0	9	4	0
20100629	Tue	LAN	SFN	4	2	N	35289	193	12	5	1	8	5	1
20100630	Wed	LAN	SFN	8	2	D	39962	177	10	4	1	7	5	1
20100701	Thu	SFN	COL	3	7	N	32134	175	7	3	2	12	4	0
20100702	Fri	SFN	COL	3	6	N	48127	154	5	3	1	12	4	0
20100703	Sat	SFN	COL	11	8	N	49271	195	10	6	0	12	5	0
20100704	Sun	SFN	COL	3	4	D	35274	324	12	9	1	13	7	1
20100705	Mon	SFN	MIL	6	1	D	36185	198	10	4	0	7	5	1
20100706	Tue	SFN	MIL	6	1	N	30896	163	6	3	0	4	3	2
20100707	Wed	SFN	MIL	15	2	N	29387	196	18	3	0	5	7	1
20100708	Thu	SFN	MIL	9	3	D	34590	214	16	6	0	12	5	2
20100709	Fri	SFN	WAS	1	8	N	34723	161	4	3	1	13	4	0
20100710	Sat	SFN	WAS	10	5	N	23977	203	11	6	0	8	6	0
20100711	Sun	SFN	WAS	6	2	D	22403	184	7	5	1	10	5	0
20100715	Thu	NYN	SFN	0	2	N	38416	131	6	4	0	7	1	0
20100716	Fri	NYN	SFN	0	1	N	41869	133	3	2	0	7	2	0
20100717	Sat	NYN	SFN	4	8	N	42599	167	7	5	0	12	5	0
20100718	Sun	NYN	SFN	4	3	D	37326	193	10	2	0	12	5	0
20100719	Mon	SFN	LAN	5	2	N	45056	195	11	5	1	10	4	0
20100720	Tue	SFN	LAN	7	5	N	53381	196	7	4	0	9	5	1
20100721	Wed	SFN	LAN	0	2	N	45151	147	5	2	0	7	1	0
20100722	Thu	SFN	ARI	3	0	N	17230	147	7	2	0	3	2	1
20100723	Fri	SFN	ARI	7	4	N	22512	225	11	5	0	11	4	2
20100724	Sat	SFN	ARI	10	4	N	32774	182	11	3	0	6	5	1
20100725	Sun	SFN	ARI	3	2	D	31278	195	11	3	0	11	5	0
20100726	Mon	FLO	SFN	4	3	N	37677	187	11	6	1	9	4	1
20100727	Tue	FLO	SFN	4	6	N	38904	148	5	3	1	11	3	0
20100728	Wed	FLO	SFN	9	10	D	35945	182	11	4	1	17	5	0
20100729	Thu	FLO	SFN	5	0	D	41152	127	8	1	1	1	3	0
20100730	Fri	LAN	SFN	5	6	N	42847	176	10	3	1	10	5	0
20100731	Sat	LAN	SFN	1	2	D	42882	160	3	3	1	5	3	0
20100801	Sun	LAN	SFN	0	2	N	42922	164	4	2	2	6	3	0
20100803	Tue	SFN	COL	10	0	N	43549	186	19	5	0	3	5	0
20100804	Wed	SFN	COL	1	6	D	37278	171	5	4	0	12	3	0
20100805	Thu	SFN	ATL	2	3	N	24538	157	8	2	0	6	4	0
20100806	Fri	SFN	ATL	3	2	N	42178	192	4	5	0	6	5	2
20100807	Sat	SFN	ATL	0	3	N	47305	143	3	4	0	6	2	0
20100808	Sun	SFN	ATL	3	6	D	33865	179	8	5	1	12	5	2
20100809	Mon	CHN	SFN	3	4	N	41943	218	11	6	1	11	7	2
20100810	Tue	CHN	SFN	8	6	N	35389	190	14	4	4	13	4	0
20100811	Wed	CHN	SFN	4	5	N	36139	152	11	3	0	10	3	0
20100812	Thu	CHN	SFN	7	8	D	40872	196	14	5	1	11	6	0
20100813	Fri	SDN	SFN	3	2	N	42722	182	6	4	1	7	5	1
20100814	Sat	SDN	SFN	2	3	D	42293	214	13	7	1	9	6	1
20100815	Sun	SDN	SFN	8	2	D	42834	163	11	3	0	4	4	2
20100817	Tue	SFN	PHI	3	9	N	45401	173	7	4	2	13	3	0
20100818	Wed	SFN	PHI	2	8	N	44410	148	8	3	1	11	4	0
20100819	Thu	SFN	PHI	5	2	N	45449	154	8	3	0	4	3	0
20100820	Fri	SFN	SLN	6	3	N	43822	172	13	3	0	13	4	0
20100821	Sat	SFN	SLN	1	5	N	44477	159	8	4	1	8	4	0
20100822	Sun	SFN	SLN	0	9	D	42638	161	3	5	0	15	1	0
20100823	Mon	CIN	SFN	2	11	N	32698	168	5	4	1	17	2	0
20100824	Tue	CIN	SFN	5	16	N	36104	184	11	4	2	18	5	0
20100825	Wed	CIN	SFN	12	11	D	36310	265	16	6	1	18	8	5
20100827	Fri	ARI	SFN	6	0	N	38013	165	8	3	0	7	4	2
20100828	Sat	ARI	SFN	11	3	N	41250	168	8	3	1	4	4	2
20100829	Sun	ARI	SFN	7	9	D	38735	183	13	4	1	13	5	0
20100830	Mon	COL	SFN	2	1	N	30224	161	7	3	0	4	2	2
20100831	Tue	COL	SFN	2	5	N	31099	157	6	5	2	7	4	0
20100901	Wed	COL	SFN	1	2	N	31186	130	5	1	2	4	2	1
20100903	Fri	SFN	LAN	2	4	N	43046	145	2	4	0	7	2	1
20100904	Sat	SFN	LAN	5	4	N	48220	164	7	3	0	9	4	0
20100905	Sun	SFN	LAN	3	0	N	43758	155	6	3	0	3	2	0
20100906	Mon	SFN	ARI	2	0	D	31879	182	8	7	0	5	3	0
20100907	Tue	SFN	ARI	6	3	N	19417	136	9	4	0	6	5	0
20100908	Wed	SFN	ARI	1	3	N	19972	149	7	4	1	6	3	0
20100909	Thu	SFN	SDN	7	3	N	28456	162	13	3	0	5	3	0
20100910	Fri	SFN	SDN	1	0	N	33662	183	7	6	0	3	4	1
20100911	Sat	SFN	SDN	0	1	D	41123	127	3	2	0	5	4	0
20100912	Sun	SFN	SDN	6	1	D	33876	174	11	4	0	9	5	1
20100914	Tue	LAN	SFN	1	0	N	36076	137	1	1	0	4	5	1
20100915	Wed	LAN	SFN	1	2	N	34685	154	4	3	1	7	3	0
20100916	Thu	LAN	SFN	2	10	N	38434	157	4	7	0	15	3	1
20100917	Fri	MIL	SFN	3	0	N	41835	149	12	1	0	3	6	2
20100918	Sat	MIL	SFN	2	1	N	41767	156	6	3	0	5	5	0
20100919	Sun	MIL	SFN	2	9	D	41113	176	5	6	0	10	6	0
20100921	Tue	SFN	CHN	1	0	N	36364	140	5	4	1	2	3	0
20100922	Wed	SFN	CHN	0	2	N	37285	142	6	3	1	5	2	0
20100923	Thu	SFN	CHN	13	0	N	34481	168	19	3	0	7	6	0
20100924	Fri	SFN	COL	2	1	N	49071	141	3	2	0	2	3	0
20100925	Sat	SFN	COL	9	10	N	43402	226	15	8	0	17	7	2
20100926	Sun	SFN	COL	4	2	D	32594	162	6	1	1	3	4	0
20100928	Tue	ARI	SFN	2	4	N	37449	165	5	5	0	10	5	0
20100929	Wed	ARI	SFN	1	3	N	38228	154	8	4	0	5	3	0
20100930	Thu	ARI	SFN	1	4	D	37261	146	7	4	0	6	4	0
20101001	Fri	SDN	SFN	6	4	N	42409	194	11	6	0	11	5	0
20101002	Sat	SDN	SFN	4	2	D	42653	164	9	4	1	6	5	1
20101003	Sun	SDN	SFN	0	3	D	42822	185	4	5	0	11	6	1
