date	opponent	at_bats	runs	hits	doubles	triples	homeruns	runs_batted_in	walks	strike_outs	hit_by_pitches	average	on_base_percentage	slugging_percentage
20100722	ARI	4	0	2	0	0	0	1	0	0	0	0.353	0.386	0.559
20100724	ARI	3	1	2	0	0	0	1	2	1	0	0.358	0.397	0.561
20100725	ARI	5	0	4	2	0	0	1	0	0	0	0.371	0.407	0.579
20100726	FLO	4	0	1	0	0	0	0	0	0	0	0.368	0.404	0.571
20100727	FLO	4	0	1	0	0	0	1	0	1	0	0.366	0.401	0.565
20100728	FLO	4	1	1	0	0	0	0	1	0	0	0.363	0.401	0.558
20100729	FLO	3	0	0	0	0	0	0	0	2	0	0.358	0.395	0.549
20100730	LAN	4	0	1	0	0	0	0	0	0	0	0.355	0.393	0.543
20100731	LAN	3	1	1	1	0	0	0	0	0	1	0.355	0.394	0.545
20100801	LAN	3	0	0	0	0	0	0	1	0	0	0.35	0.392	0.537
20100803	COL	5	1	3	0	0	0	2	1	1	0	0.356	0.399	0.538
20100804	COL	3	0	1	1	0	0	1	0	0	0	0.355	0.398	0.54
20100805	ATL	4	0	0	0	0	0	0	0	1	0	0.349	0.391	0.53
20100806	ATL	4	0	0	0	0	0	0	1	0	0	0.342	0.388	0.521
20100807	ATL	2	0	1	0	0	0	0	0	0	1	0.344	0.391	0.52
20100808	ATL	1	0	0	0	0	0	0	0	1	0	0.342	0.389	0.518
20100809	CHN	5	0	1	1	0	0	1	1	1	0	0.339	0.388	0.515
20100810	CHN	5	1	2	1	0	0	2	0	0	0	0.341	0.388	0.517
20100811	CHN	4	0	0	0	0	0	1	0	1	0	0.335	0.382	0.508
20100812	CHN	3	1	0	0	0	0	0	2	0	0	0.331	0.383	0.502
20100813	SDN	4	0	1	0	0	0	0	0	0	0	0.329	0.381	0.498
20100814	SDN	5	1	2	1	0	0	0	0	1	0	0.331	0.381	0.5
20100815	SDN	4	1	3	0	0	1	2	0	0	0	0.337	0.386	0.516
20100817	PHI	4	0	2	0	0	0	0	0	0	0	0.34	0.388	0.516
20100818	PHI	4	0	1	0	0	0	0	0	2	0	0.338	0.386	0.512
20100819	PHI	4	1	2	2	0	0	2	0	0	0	0.341	0.388	0.519
20100820	SLN	5	1	2	2	0	0	1	0	0	0	0.342	0.388	0.524
20100821	SLN	4	1	2	0	0	0	0	0	1	0	0.344	0.389	0.524
20100822	SLN	3	0	0	0	0	0	0	0	1	0	0.341	0.385	0.518
20100823	CIN	5	1	2	0	0	0	0	0	2	0	0.342	0.386	0.516
20100824	CIN	5	1	1	0	0	1	3	0	0	0	0.339	0.383	0.521
20100825	CIN	6	0	0	0	0	0	0	0	2	0	0.332	0.375	0.51
20100827	ARI	3	0	0	0	0	0	0	0	1	0	0.329	0.372	0.505
20100830	COL	4	0	1	0	0	0	1	0	1	0	0.328	0.37	0.502
20100831	COL	4	0	2	1	0	0	2	0	0	0	0.33	0.372	0.505
20100901	COL	1	0	0	0	0	0	0	2	0	0	0.329	0.375	0.503
20100903	LAN	3	0	1	0	0	0	2	0	1	0	0.329	0.374	0.502
20100904	LAN	4	1	1	0	0	1	1	0	0	0	0.328	0.373	0.508
20100905	LAN	3	1	1	0	0	0	0	1	0	0	0.328	0.374	0.506
20100906	ARI	5	1	1	0	0	0	0	0	0	0	0.326	0.372	0.502
20100907	ARI	4	2	2	1	0	0	0	0	0	0	0.328	0.373	0.505
20100908	ARI	4	0	0	0	0	0	0	0	1	0	0.324	0.369	0.498
20100909	SDN	5	1	2	0	0	1	2	0	0	0	0.325	0.369	0.506
20100911	SDN	4	0	0	0	0	0	0	0	2	0	0.321	0.365	0.5
20100912	SDN	4	1	2	0	0	1	2	1	1	0	0.324	0.369	0.509
20100914	LAN	3	0	0	0	0	0	0	0	0	0	0.321	0.366	0.504
20100915	LAN	3	0	2	0	0	0	0	1	0	0	0.324	0.37	0.506
20100916	LAN	5	1	2	1	0	1	2	0	1	0	0.325	0.37	0.516
20100917	MIL	3	0	0	0	0	0	0	0	0	0	0.322	0.367	0.511
20100918	MIL	4	0	1	0	0	0	0	0	1	0	0.321	0.366	0.508
20100919	MIL	2	3	2	2	0	0	0	3	0	0	0.325	0.374	0.517
20100921	CHN	4	1	1	0	0	1	1	0	1	0	0.324	0.373	0.522
20100922	CHN	4	0	0	0	0	0	0	0	3	0	0.321	0.369	0.516
20100923	CHN	4	2	2	0	0	1	2	0	0	0	0.323	0.37	0.524
20100924	COL	3	1	0	0	0	0	0	1	1	0	0.32	0.369	0.52
20100925	COL	4	0	0	0	0	0	0	1	0	0	0.317	0.367	0.515
20100926	COL	3	0	1	0	0	0	0	1	0	0	0.317	0.368	0.513
20100928	ARI	4	0	0	0	0	0	0	0	0	0	0.313	0.365	0.508
20100929	ARI	3	1	0	0	0	0	0	1	1	0	0.311	0.364	0.504
20100930	ARI	4	1	2	0	0	1	2	0	0	0	0.313	0.365	0.511
20101001	SDN	5	0	0	0	0	0	0	0	0	0	0.309	0.361	0.505
20101002	SDN	4	0	0	0	0	0	0	0	1	0	0.306	0.358	0.5
20101003	SDN	4	1	1	0	0	1	1	0	0	0	0.305	0.357	0.505
